id,cluster,species,gear,area,x,y,permits,statewide,federal,limited,degree,degree_weighted,avg_edge_weight,closeness_centrality
S-1-H,3,S,1,H,66.35302741,39.27080218,83,0,0,LE,30,72,2,0.58
S-1-K,2,S,1,K,56.6776032,45.98404663,365,0,0,LE,77,592,8,0.76
S-1-L,2,S,1,L,49.57030363,47.59762848,92,0,0,LE,42,98,2,0.61
S-1-M,2,S,1,M,46.34684585,49.68012069,116,0,0,LE,61,243,4,0.69
S-2-K,2,S,2,K,61.94157454,44.90171733,31,0,0,LE,13,19,1,0.52
S-3-A,1,S,3,A,85.65162144,37.97476973,472,0,0,LE,59,567,10,0.67
S-3-E,3,S,3,E,70.77753672,35.49165551,535,0,0,LE,54,334,6,0.66
S-3-H,1,S,3,H,60.34978186,36.48838047,568,0,0,LE,57,325,6,0.67
S-3-M,2,S,3,M,36.60359927,51.35906035,160,0,0,LE,51,136,3,0.65
S-3-T,4,S,3,T,46.52777361,43.57252737,1844,0,0,LE,93,647,7,0.86
S-4-D,1,S,4,D,79.60848692,36.6752826,167,0,0,LE,39,91,2,0.6
S-4-E,3,S,4,E,70.39997973,33.03099193,29,0,0,LE,7,6,1,0.51
S-4-H,3,S,4,H,62.93466327,41.33630843,697,0,0,LE,34,75,2,0.58
S-4-K,2,S,4,K,55.55665152,43.91691708,176,0,0,LE,22,68,3,0.55
S-4-M,2,S,4,M,43.179548,50.75073188,113,0,0,LE,40,145,4,0.61
S-4-P,4,S,4,P,55.38933514,21.84444913,57,0,0,LE,2,6,3,0.35
S-4-T,4,S,4,T,40.13001612,41.927659,952,0,0,LE,42,96,2,0.61
S-4-W,4,S,4,W,45.07523288,34.47158034,737,0,0,LE,28,97,3,0.57
S-4-X,4,S,4,X,46.06994815,11.97487747,159,0,0,LE,5,4,1,0.44
S-4-Y,4,S,4,Y,37.37865891,25.71959551,668,0,0,LE,31,93,3,0.58
S-4-Z,4,S,4,Z,44.31525567,20.25232667,172,0,0,LE,10,76,8,0.52
S-5-B,1,S,5,B,,,1038,1,0,LE,60,663,11,0.68
S-8-P,4,S,8,P,54.65441696,20.09061385,112,0,0,LE,5,11,2,0.48
S-15-B,1,S,15,B,,,961,1,0,LE,67,1074,16,0.71
T-9-L,2,T,9,L,52.22311558,46.30156499,11,0,0,U,29,32,1,0.57
T-9-M,2,T,9,M,38.71552018,47.36336256,49,0,0,U,37,141,4,0.59
T-9-O,2,T,9,O,35.51311378,48.85472635,11,0,0,U,36,22,1,0.59
T-9-Q,2,T,9,Q,14.71465838,46.74516222,92,0,1,U,31,184,6,0.57
T-9-QA,2,T,9,QA,16.84295001,48.14328947,18,0,0,OTHER,15,53,4,0.53
T-10-A,1,T,10,A,82.38916799,32.15331965,34,0,0,U,31,97,3,0.58
T-19-A,1,T,19,A,82.0367394,35.84229066,24,0,0,LE,31,76,2,0.57
TB-9A-K,2,TB,9A,K,62.69310268,46.89475278,175,0,0,LE,62,506,8,0.69
U-11-A,5,U,11,A,81.30871547,43.34262998,68,0,0,LE,28,98,3,0.56
W-22-B,1,W,22,B,,,7,1,0,U,23,7,0,0.55
W-22-BV,6,W,22,BV,35.96677968,8.267578548,6,0,0,LE,3,0,0,0.39
Y-5-A,1,Y,5,A,88.46489578,33.57631796,5,0,0,U,19,15,1,0.54
Y-6-A,1,Y,6,A,89.31279945,36.75870804,89,0,0,U,44,323,7,0.62
Y-26-A,1,Y,26,A,82.06323653,38.60943226,7,0,0,U,23,29,1,0.55
