id,fisheries,avg_permits,density,avg_degree,avg_edge_weight,avg_closeness_centrality
1,37,228,0.63,22.6,12.21,0.75
2,33,86,0.58,18.67,5.25,0.72
3,15,151,0.61,8.53,7.48,0.72
4,21,282,0.42,8.38,7.3,0.63
5,5,103,1,4,15.1,1
6,1,6,n.a.,n.a.,n.a.,n.a.
7,1,13,n.a.,n.a.,n.a.,n.a.
